Job Description,Ground Truth
"Node js developer
Experience
2-3 years
Skill Set
Node-JS
MongoDB / MySQL / Redis (One or more of these databases)
Experience in creating REST web services
Frameworks: (One or more of these frameworks)
NodeJS Frameworks: nest / Hapi / Express / Koa
Good to have
Good experience in Message Queue: Kafka / RabbitMQ
Workflow engines Camunda, Process maker
Good experience in TDD approach
Good experience in socket programming
Good experience in cloud deployments
We are looking for
A Back-End Web Developer with excellent programming skills to join our team. We need a person who, as part of a team, can create highly scalable web apps. The ideal candidate has experience building real products for the web and should be able to present examples of their work.
Key Responsibilities
Maintain, contribute and adhere to our programming best practices and guidelines
Advanced understanding of emerging web technologies
Design and codes superior technical solutions
Good understanding of SQL and NOSQL databases
Good debugging skills
Good analytical skills
Good communication skills
Good knowledge of OOPs concepts
Should be a good team player
Should know Agile methodologies
Must be aware about DevOps concepts
Should have hands-on on git or equivalent code repository system
Should have knowledge of design patterns
Selection Process
Send your resume to us at jobs@iauro.com
Shortlisted profiles will hear from us soon."," ():
As a Node JS Developer with 2+ years of experience, I have a strong skill set in Node.js and have worked with MongoDB and Redis databases. I have experience in creating REST web services using frameworks like Hapi and Express. I have good knowledge of TDD approach and socket programming. I have also worked on cloud deployments. I have hands-on experience in Git and have knowledge of design patterns. I have good analytical and communication skills and I am a good team player. I have worked on Agile methodologies and have knowledge of DevOps concepts.

"
"Backend Developer
Job description
Use markup languages like HTML5 to create user-friendly web pages.
Maintain and improve product UI.
Optimize applications for maximum speed.
Design mobile-based features.
Collaborate with back-end developers and web designers to improve usability.
Write functional requirement documents and guides.
Create quality mockups and prototypes.
Help back-end developers with coding and troubleshooting.
Ensure high quality graphic standards and brand consistency.
Stay up-to-date on emerging technologies.
Requirements :
Proven work experience as a Front-end developer.
Hands on experience with markup languages.
Hands On Experience with HTML5,JavaScript, CSS/CSS3, jQuery,SCSS,Bootstrap,LESS.
Familiarity with backend language like PHP.
Familiarity with browser testing and debugging.
In-depth understanding of the entire web development process (design, development and deployment).
Understanding of layout aesthetics.
Familiarity with software like Adobe Suite, Photoshop and content management systems.
An ability to perform well in a fast-paced environment.
Excellent analytical and multitasking skills.
Job Types: Full-time, Walk-In
Salary: 15,548.00 - 30,000.00 per month
Schedule:
Day shift
Experience:
UI Developer: 3 years (Preferred)"," ():
 
John Doe
UI Developer 
Email: johndoe@email.com 
Phone: 555-555-5555 

Objective: 
To obtain a full-time Backend Developer position utilizing my expertise in markup languages, HTML5, CSS/CSS3, jQuery, SCSS, Bootstrap, LESS, and PHP, and to contribute to a company's success by designing mobile-based features, writing quality mockups and prototypes, and collaborating with back-end developers and web designers to improve usability. 

Work Experience: 
Backend Developer 
ABC Company, Anytown USA 
June 2018 - Present 

- Collaborate with front-end developers and web designers to improve user-friendly web pages 
- Write functional requirement documents and guides 
- Create quality mockups and prototypes 
- Help back-end developers with coding and troubleshooting 
- Ensure high quality graphic standards and brand consistency 

UI Developer 
XYZ Corp, Anytown USA 
May 2015 - May 2018 

- Created user-friendly web pages utilizing HTML5, CSS/CSS3, jQuery, SCSS, Bootstrap, and LESS 
- Optimized applications for maximum speed 
- Designed mobile-based features 
- Conducted browser testing and debugging 
- Stayed up-to-date on emerging technologies 

Education: 
Bachelor of Science in Computer Science 
University of Anytown 
May 2015 

Certifications: 
Certified HTML5 Developer 
Certified PHP Developer 

Skills: 
- HTML5 
- CSS/CSS3 
- jQuery 
- SCSS 
- Bootstrap 
- LESS 
- PHP 

"
"Network Administrator
Job DescriptionConfiguration and troubleshooting of network, Internet and email problems for users. Hands on Experience on Fortinet and Cyberoam Firewall. Hands on Experience on Cisco, Brocade and Netgear products like Switch, Router, Access points
Job Description
Configuration and troubleshooting of network, Internet and email problems for users. Hands on Experience on Fortinet and Cyberoam Firewall. Hands on Experience on Cisco, Brocade and Netgear products like Switch, Router, Access points etc. IP Addressing and Subnetting Familiar with routing protocols (EIGRP, OSPF, BGP). Knowledge of VLAN, VTP & also configuration of VLANs, spanning- tree on switches. Configuration knowledge & Hands on Experience of Cisco, Brocade and Netgear products. Installation, Configuration and troubleshooting of switches, Access points, routers, Firewalls. Co- ordination with ISP Team for Internet related issues & new requirements/ changes in network. Creating & updating required documentation of network for future references. Monitoring auto logs backup of firewall system enabled & updating concern team. Taking regular backup of system configurations for future references & require troubleshooting in case of failure.
Industry
Facility Management
functional Area
IT Software - Network Administration, Security
Job Role
Project Manager-IT/Software
Keyword
Network administration,Networking,Service industry,VLAN,Troubleshootingcisco,Monitoring
Job Type
Permanent
Qualification
UG Qualification
B.Tech/B.E - Computers
PG Qualification
Any Post Graduate - Any Specialization
Doctorate
Doctorate Not Required - None
Desired Candidate Profile
Please refer to the Job description above
Company Profile
Company Name
Corporate Resources
Website
www.crplindia.com
Contact Information
Recruiter Name
Puspita
Phone No
+91 9338136693
Email ID
resume@crplindia.co.in
Address
Plot No. : N-6/9, I.R.C. Village, Nayapally, Bhubaneswar, Odisha - 751015"," - 

Name: John Doe
Email: johndoe@email.com
Phone: 123-456-7890

Objective: To obtain a Network Administrator position in the IT Software - Network Administration, Security industry where I can utilize my skills and experience to ensure smooth network operations.

Education:
- Bachelor of Science in Computer Engineering, XYZ University, 2015-2019

Certifications:
- Cisco Certified Network Associate (CCNA), 2019
- Fortinet Network Security Expert (NSE) Level 1, 2020

Skills:
- Configuration and troubleshooting of network, Internet, and email problems for users
- Hands-on experience on Fortinet and Cyberoam Firewall
- Hands-on experience on Cisco, Brocade, and Netgear products like Switch, Router, Access points
- Familiar with routing protocols (EIGRP, OSPF, BGP)
- Knowledge of VLAN, VTP, and configuration of VLANs, spanning-tree on switches
- Installation, Configuration, and troubleshooting of switches, Access points, routers, Firewalls
- Co-ordination with ISP Team for Internet related issues & new requirements/ changes in network
- Creating & updating required documentation of network for future references
- Monitoring auto logs backup of firewall system enabled & updating concern team
- Taking regular backup of system configurations for future references & require troubleshooting in case of failure.

Work Experience:
Network Administrator, ABC Facility Management, 2019-2021
- Configured and troubleshooted network, Internet, and email problems for users.
- Handled Fortinet and Cyberoam Firewall.
- Worked on Cisco, Brocade, and Netgear products like Switch, Router, Access points.
- Configured VLAN, VTP and VLANs, spanning-tree on switches.
- Installed, Configured, and troubleshooted switches, Access points, routers, Firewalls.
- Coordinated with ISP Team for Internet related issues & new requirements/ changes in network.
- Created & updated required documentation of network for future references.
- Monitored auto logs backup of firewall system enabled & updating concern team.
- Took regular backup of system configurations for future references & require troubleshooting in case of failure.

"
"Backend Developer
JOB DESCRIPTION: -
Project Completion Experiences of PHP Framework
Experience and ability to build plugins from detailed briefs and mockups using best practices, clean reusable and expandable code;.
Extensive knowledge and experience of building WordPress CMS websites using the best practice & de- facto standard plugins - PSD } HTML to WordPress conversion / migration
Someone who has a very strong analytical sense, who works well with JavaScript and PHP and understand deeply how to use those technologies to develop for WordPress.
developing front-end websites and applications using HTML, CSS, JavaScript, jQuery, PHP
Candidate must have experience of WordPress Plugin and Theme development and
customization.
In depth knowledge of MySQL database and Oops Concepts.
Job Type: Full-time
Salary: 20,000.00 - 50,000.00 per month
Schedule:
Day shift
Work Remotely:
No
Speak with the employer
+91 8146711885"," - 

SUMMARY
A highly skilled and analytical Backend Developer with extensive experience in building WordPress CMS websites. Possessing in-depth knowledge of PHP Framework, MySQL database, and Oops Concepts. Strong experience in developing front-end websites and applications using HTML, CSS, JavaScript, jQuery, PHP. Proven ability to build plugins from detailed briefs and mockups using best practices, clean reusable and expandable code. 

EXPERIENCE
Backend Developer, ABC Company
July 2019 – Present
- Successfully developed and launched multiple WordPress CMS websites from PSD to WordPress conversion/migration.
- Built custom plugins and themes using best practices and de-facto standard plugins.
- Collaborated with the design and front-end teams to provide seamless user experience and optimized website performance.
- Ensured the website's security and scalability by following the best practices and implementing the necessary security measures.

Backend Developer, XYZ Agency
January 2017 – June 2019
- Worked on multiple PHP Framework projects and successfully delivered them within the given time and budget.
- Utilized JavaScript and PHP to develop WordPress websites and applications.
- Developed custom plugins and themes for various clients with specific business needs.
- Optimized website speed and performance by implementing caching and CDN.

EDUCATION
Bachelor's Degree in Computer Science, University of ABC
2013 - 2017

CERTIFICATIONS
Certified WordPress Developer, Udemy
MySQL for Data Analysis - SQL Database for Beginners, Udemy

"
"Java Developer
Infosys is seeking Backend Developer - Java, Spring. This position will interface with key stakeholders and apply your technical proficiency across different stages of the Software Development Life Cycle including Requirements Elicitation, Application Architecture definition and Design; play an important role in creating the high level design artifacts; deliver high quality code deliverables for a module, lead validation for all types of testing and support activities related to implementation, transition and warranty; be part of a learning culture, where teamwork and collaboration are encouraged, excellence is rewarded, and diversity is respected and valued.
Required Qualifications:
 Bachelors degree or foreign equivalent required from an accredited institution. Will also consider three years of progressive experience in the specialty in lieu of every year of education.
 At least 4 years of Information Technology experience
 Candidate must be located within commuting distance of San Francisco, CA or be willing to relocate to the area. This position may require travel and/or relocation in the US.
Preferred Qualifications:
At least 4 years of experience in Web Development using Java Technologies and Spring Framework.
Experience with developing software in one or more of JVM languages: Java, Scala, Kotlin, Clojure with an ability to write code on the fly
Working experience in Spring related technologies such as Spring Core, Spring Boot, Spring MVC, and Spring Integration
Familiar with one or more of the following: distributed systems, transactional services, NoSQL databases, distributed messaging
Problem-solving skills in troubleshooting application issues
Exposure to leading a small team and providing required tech leadership and guidance.
Exposure to architecture, design and approach of modules or component development.
The job entails sitting as well as working at a computer for extended periods of time. Should be able to communicate by telephone, email or face to face. Travel may be required as per the job requirements.
About Us
Infosys is a global leader in next-generation digital services and consulting. We enable clients in 46 countries to navigate their digital transformation.
With over three decades of experience in managing the systems and workings of global enterprises, we expertly steer our clients through their digital journey. We do it by enabling the enterprise with an AI-powered core that helps prioritize the execution of change. We also empower the business with agile digital at scale to deliver unprecedented levels of performance and customer delight. Our always-on learning agenda drives their continuous improvement through building and transferring digital skills, expertise, and ideas from our innovation ecosystem.
EOE/Minority/Female/Veteran/Disabled/Sexual Orientation/Gender Identity/National Origin
To learn more about Infosys and see our ideas in action please visit us at www.Infosys.com"," ():
Name: John Doe

Contact Information: 
Email: johndoe@email.com
Phone: 123-456-7890
Location: San Francisco, CA

Summary:
Java Developer with over 4 years of experience in web development using Java technologies and Spring Framework. Skilled in developing software in JVM languages such as Java, Scala, and Kotlin. Experienced in Spring Core, Spring Boot, Spring MVC, and Spring Integration. Familiar with distributed systems, transactional services, NoSQL databases, and distributed messaging. Strong problem-solving skills in troubleshooting application issues. Experienced in leading small teams and providing tech leadership and guidance. 

Education:
Bachelor's Degree in Computer Science from San Francisco State University, 2016-2020

Work Experience:

Java Developer, XYZ Corporation, San Francisco, CA, 2020-present
-Develop and maintain web applications using Java, Spring, and Hibernate
-Design and develop RESTful web services
-Integrate applications with various third-party APIs
-Optimize application performance and scalability
-Work with the team to identify and resolve technical issues
-Participate in code reviews and provide constructive feedback

Java Developer Intern, ABC Company, San Francisco, CA, 2019-2020
-Contributed to the development of a web application using Java and Spring
-Developed and executed test cases for the application
-Conducted code reviews and provided feedback to the team
-Participated in daily stand-up meetings and sprint planning

Certifications:
Oracle Certified Java Programmer, 2020

"
"DevOps Engineer
Our Purpose and Challenges
With over 47% market-share, MakeMyTrip is Indias first and biggest travel company. In fact, one in every four passengers at an airport is our customer. Driven by the desire to provide an exceptional travel experience for our customers, we have continuously stayed ahead of the curve by developing technology and products to meet the ever-changing demands of the rapidly evolving travel ecosystem.
We are currently solving multiple challenging problems, including -
How to bring the next 100 million users to our platform?
How to leverage customer insights to create a truly personalised experience for users?
How to create a delightful experience for our users, to make travel synonymous to MMT?
If this excites you, join us for a rewarding, fulfilling and enriching career.
Not only do we make the best trips for our customers, we also promise the trip of a lifetime to our employees! Everyday, our teams solve challenging problems for millions of users by leveraging the latest technology, while having loads of fun. Every day is a new trip for them, and that is precisely why we call them Trippers!
Sanjay Mohan, Group CTO, MakeMyTrip
About the opportunity
What youll be doing:
Youll skilfully deploy, automate, maintain, troubleshoot and constantly improve the systems that will keep the backend infrastructure running smoothly.
Youll competently handle automation of the cluster management for various components like PDT, Kafka, EMR(Spark), S3 integration and workflow/DAG schedulers, etc.
Youll proficiently own and execute deployment and maintenance of a cloud-based business intelligence SaaS solution.
What youll bring to the team:
Youll bring outstanding expertise in developing and automating tech stack on AWS technologies (e.g. EC2, RDS, ELB, EBD, S3, VPC, Glacier, IAM, CloudWatch, KMS, EMR, Athena, Containers(Docker)) to develop and maintain cloud infrastructure with strong emphasis on best practices with cloud security.
You have mad skills as a DevOps Engineer in a 24x7 uptime Amazon AWS environment, including automation experience with configuration management tools like Ansible.
You have experience in analyzing and resolving complex infrastructure resources and application deployment issues.
Interview Process & Prep Notes
Coding Assessment
Scripting Languages, Jenkins, Ansible, Docker
Prior experience in deployment tools ,a strong familiarity with Linux and shell environments, and in depth programming experience in scripting languages such as Bash, Perl, Python, and Ruby.
Assessment On Big Data Technologies
Hbase, Hive, Hadoop
Basics of Apache Hadoop & Hadoop Ecosystem, as it comprises of set of tools which works together to solve Big data problems. Understanding of HDFS(file system) and practical knowledge of HBase.
AWS & Cloud
Cloud Technologies, Azure , AWS
What you should know ? Automation of redundant tasks on AWS Cloud using leading tools such as Chef, Puppet, Docker & Jenkins. Identify the challenges of cloud-based application infrastructure and improve processes to make it more secure and scalable.
Team Fitment
Behavioural Assessment, Culture Fit Role Operation
Be yourself. It works out better for everyone if we're genuine and can see if we're a cultural fit for each other. Everyone here is focused on our mission, so you should figure out what it is.
Learning & Growth
All Trippers get instant access to learning academies, e-learning portals like Udemy, Codeacademy etc. ,education loans, sponsorship for conferences, skill development programs, and much more. Not to mention the incredible learning opportunity you will undoubtedly receive from working with leaders and colleagues that are at the top of their game!
Learning Academies
Continuous Education Scheme
Conferences
Peer Learning"," - :

Name: John Doe

Contact Information: 
Email: johndoe@email.com
Phone: (555) 555-5555

Summary:
DevOps Engineer with 5+ years of experience in deploying, automating, maintaining, and troubleshooting systems on AWS technologies. Skilled in cluster management for various components like PDT, Kafka, EMR(Spark), S3 integration, and workflow/DAG schedulers, with strong emphasis on best practices with cloud security. Experienced in analyzing and resolving complex infrastructure resources and application deployment issues. Proficient in automation experience with configuration management tools like Ansible. 

Skills:
- AWS technologies (e.g. EC2, RDS, ELB, EBD, S3, VPC, Glacier, IAM, CloudWatch, KMS, EMR, Athena, Containers(Docker))
- Ansible, Jenkins, Docker
- Bash, Perl, Python, and Ruby
- Hadoop, HBase, Hive
- Cloud Technologies, Azure, AWS

Experience:
DevOps Engineer, XYZ Company, May 2018 - Present
- Skilfully deploy, automate, maintain, troubleshoot, and constantly improve the systems that keep the backend infrastructure running smoothly
- Competently handle automation of the cluster management for various components like PDT, Kafka, EMR(Spark), S3 integration, and workflow/DAG schedulers, etc.
- Proficiently own and execute deployment and maintenance of a cloud-based business intelligence SaaS solution.
- Develop and automate tech stack on AWS technologies
- Analyze and resolve complex infrastructure resources and application deployment issues
- Automate redundant tasks on AWS Cloud using leading tools such as Chef, Puppet, Docker & Jenkins.

DevOps Engineer, ABC Company, June 2016 - April 2018
- Deployed, automated, maintained, and troubleshooted systems on AWS technologies
- Handled automation of the cluster management for various components like PDT, Kafka, EMR(Spark), S3 integration, and workflow/DAG schedulers, etc.
- Owned and executed deployment and maintenance of a cloud-based business intelligence SaaS solution.
- Analyzed and resolved complex infrastructure resources and application deployment issues
- Automated redundant tasks on AWS Cloud using leading tools such as Chef, Puppet, Docker & Jenkins.

Education:
Bachelor of Science in Computer Science, XYZ University, May 2016

Certifications:
- AWS Certified DevOps Engineer - Professional
- AWS Certified Solutions Architect - Associate

"
"Network Administrator
Job Description :
Key skills required for the job are:
Network Voice Admin-L2 (Mandatory)
As an Administrator, you should be able to do system administration, Incident / problem determination and resolution on a 24x7 basis Incident, Problem, Change and Configuration management, Service incidents and queries within the agreed service levels. Perform Service Requests based on Standard Operating Procedures. Work on scheduled tasks as part of Change Management. Should be able to handle issues independatly and suggest/ implement services improvements plans. Should be able to identify and highlight scope of automation to lead or Manager
Minimum work experience:1 - 3 Years ""As an Administrator, you should be able to do system administration, Incident / problem determination and resolution on a 24x7 basis Incident, Problem, Change and Configuration management, Service incidents and queries within the agreed service levels. Perform Service Requests based on Standard Operating Procedures. Work on scheduled tasks as part of Change Management. Should be able to handle issues independatly and suggest/ implement services improvements plans. Should be able to identify and highlight scope of automation to lead or Manager""
00-3.00 Years"," ():
As a Network Administrator with 2 years of experience, I am skilled in Network Voice Admin and have a proven track record of providing system administration, incident/problem resolution, and change/configuration management. I have experience in incident management, service incidents and queries, and have worked with Standard Operating Procedures. I am able to work on scheduled tasks as part of Change Management and have experience identifying and highlighting the scope of automation to lead or Manager. Additionally, I have worked independently to suggest and implement service improvements plans. I hold a Bachelor's degree in Computer Science and have certifications in Cisco, CompTIA Network+, and ITIL Foundation.

"
"iOS Developer
Qualification Any Graduation with IT as a subject
Designation Software Engineer
Experience 0 - 1 year experience
Responsibilities & Skills
Proficient in Swift with good knowledge of Threads and Collection Framework.
Understanding of basic components of an iOS application and their lifecycle.
Good Knowledge in Xcode
Strong understanding of Object Oriented Principles
Basic knowledge of Core Data and its components.
Understanding of Story Board user interface and AutoLayouts .
Familiarity with RESTful APIs to connect with back-end services with JSON
Solid understanding of the full mobile development life cycle.
Commitment to collaborative problem solving, sophisticated design, and creating quality products is essential.
Excellent communication, interpersonal and teamwork skills.
Note: Candidates those completed certifications in iOS courses or having hand-on experience in iOS Mobile Apps having more preference in the shortlisting process. While applying for this position clearly mention the same in the email."," ():

Name: John Doe
Email: johndoe@email.com
Contact: 123-456-7890

Objective: To obtain a position as an iOS Developer where I can utilize my skills and experience to contribute to the success of the company.

Education:
Bachelor of Science in Computer Science, XYZ University (Graduated May 2021)

Skills:
- Proficient in Swift with good knowledge of Threads and Collection Framework
- Strong understanding of Object Oriented Principles
- Basic knowledge of Core Data and its components
- Understanding of Story Board user interface and AutoLayouts
- Familiarity with RESTful APIs to connect with back-end services with JSON
- Good knowledge in Xcode

Work Experience:
iOS Developer Intern, ABC Company (June 2020 - August 2020)
- Developed and implemented new features for the company's iOS application
- Worked with RESTful APIs to connect with back-end services
- Improved the app's user interface and design

iOS Developer, XYZ Startup (September 2020 - Present)
- Developed and maintained the company's iOS application
- Collaborated with team members to improve the app's functionality and user experience
- Implemented new features and bug fixes
- Increased app downloads by 20% through implementing marketing strategies

Certifications:
- iOS Development Course, Udemy (2020)
- Swift Programming Course, Coursera (2021)

"
"Software Engineer
Nokia is a global leader in the technologies that connect people and things. With state-of-the-art software, hardware and services for any type of network, Nokia is uniquely positioned to help communication service providers, governments, and large enterprises deliver on the promise of 5G, the Cloud and the Internet of Things.
Serving customers in over 100 countries, our research scientists and engineers continue to invent and accelerate new technologies that will increasingly transform the way people and things communicate and connect.
Nokia is an equal opportunity employer that is commited to diversity and inclusion.
At Nokia, employment decisions are made regardless of race, color, national or ethnic origin, religion, gender, sexual orientation, gender identity or expression, age, marital status, disability, protected veteran status or other characteristics protected by law.
Years of experience:
6-9 years
Education:
BE/BTech/MTech/MCA in Computer Science/Electronics/Electrical/Information Science/Telecom
Grade/Level: JG 8 ( 6 to 9 years of experience )
Skills Required:
Strong experience in designing and developing applications using Java SE and EE.
Strong experience in Multithreading.
Strong experience in testing frameworks: Junit, Jmockit, Easy Mock
Strong experience in Spring Framework
Experience in WEB standards and technologies: REST, SOAP, XML
6. Good understanding in security aspects like TLS, TCP, knowledge of linux permissions, certificates, security algorithms.
7. R&D Experience in Agile (Kanban is a plus)
Good to have:
Test Automation(ROBOT tool, Selenium).
Scripting experience with Shell/Perl/Python
Knowledge of LDAP (X.500) and Tools like Wireshark, etc are added advantage
Telecom domain know how.
Cloud Principles
6. Experience in containerization ( knowhow in Dockers & Kubernetes )
Soft Skills:
Self-starter able to make progress with minimal supervision
Good Communication Skills and Presentation Skills
Strong collaborative & leadership skills
Years of experience:
3-6 years
Education:
BE/BTech/MTech/MCA in Computer Science/Electronics/Electrical/Information Science/Telecom
Grade/Level: JG 7 ( 3 to 6 years of experience )
Apply now."," - 

Name: John Doe

Contact Information:

Email: johndoe@email.com

Mobile: (123) 456-7890

Objective:

To secure a Software Engineer position at Nokia and utilize my 7 years of experience in Java SE and EE, Multithreading, testing frameworks, Spring Framework, and WEB standards and technologies.

Education:

Bachelor of Science in Computer Science, XYZ University, 2013

Master of Science in Computer Science, XYZ University, 2015

Skills:

- Strong experience in designing and developing applications using Java SE and EE.
- Strong experience in Multithreading.
- Strong experience in testing frameworks: Junit, Jmockit, Easy Mock
- Strong experience in Spring Framework
- Experience in WEB standards and technologies: REST, SOAP, XML
- Good understanding in security aspects like TLS, TCP, knowledge of linux permissions, certificates, security algorithms.
- Experience in Agile (Kanban is a plus)
- Test Automation using Selenium.
- Scripting experience with Shell/Perl/Python
- Knowledge of LDAP (X.500) and Tools like Wireshark, etc are added advantage
- Telecom domain know-how.
- Cloud Principles
- Experience in containerization (knowhow in Dockers & Kubernetes)

Work Experience:

Software Engineer, ABC Inc, 2015 - Present

- Designed and developed applications using Java SE and EE and Spring Framework.
- Implemented Multithreading and improved application performance by 60%.
- Developed and executed automated tests using Junit, Jmockit, and Easy Mock.
- Configured REST, SOAP, and XML services and integrated with external systems.
- Implemented security using TLS, TCP, and certificates.
- Implemented Agile methodology and Kanban to manage project timelines.
- Created automated scripts using Selenium for functional testing.
- Configured and managed LDAP server for user authentication.
- Worked on Docker and Kubernetes for containerization.

KPIs:

- Improved application performance by 60% by implementing Multithreading.
- Reduced defects by 50% by implementing automated testing using Junit, Jmockit, and Easy Mock.
- Delivered project within timelines by implementing Agile methodology and Kanban.

"
"DevOps Engineer
Job ID: 97288
Who are we?
At Amdocs, our purpose is to enrich lives and progress society. With our creativity and technology, we help make a better connected world. Amdocs and its 25,000 employees serve the leading players in the communications and media industry, enabling next-generation experiences in 85 countries. Our cloud-native, open and dynamic portfolio of digital solutions, platforms and services brings greater choice, faster time to market and flexibility, to better meet the evolving needs of our customers as they drive growth, transform and take their business to the cloud. Listed on the NASDAQ Global Select Market, Amdocs had revenue of $4.1 billion in fiscal 2019. For more information, visit Amdocs at http://www.amdocs.com
In one sentence
Responsible for automating and maintaining complicated installations none production and production environments and process of software development and testing.
All you need is...
Bachelors Degree in Computers or related field.
Total Experience - 2 to 4 years
Mandatory:
Experience in writing deployment and full life cycle for complicated systems and defining architecture requirements for deployment and automations.
At least 2 years of experience in DevOps development and support experience (like Jenkins CI/CD, Nexus, NPM, GIT, Maven)
At least 2 years of experience in Deployment tools - Ansible (playbooks and roles), Kubernetes and Containers (Docker)
At least 2 year of experience in scripting tools - bash, Python, Perl, Groovy, PowerShell
At least 2 years of experience in Public cloud development (AWS, Google) or private Clouds (OpenStack, VMWare)
Experience in DevOps tools (monitoring and tracing tools, security, logging)
Experience in Linux (like Ubuntu, RHEL, ALM)
Team Worker with good interpersonal, communication and fast learning skills.
Highly adaptive to any type of work environment and technology.
Nice to have:
At least 1 year of Azure Cloud environment experience.
At least 1 year of experience in exposure to any object-oriented language like Java or similar.
What will your job look like?
You will drive the automation of multiple parts of infrastructure and deployment systems, striving to improve and shorten processes to enable engineering and operations teams work smarter and faster.
You will collaborate with related product development teams to drive automation of configuration management, build, release, deployment and monitoring processes including teams instruction on the developed tools.
You will work with IT and development in order to create the integration and continuity of the code holding holistic view of their working environments.
You will support engineering and operations teams to meet infrastructure needs.
You will provide professional support for the developed automations, responding to incidents in an effort to avoid system outages or restore availability to meet SLAs.
You will monitor AWS instances and other web based applications.
You will lead the integration between product infrastructure system and Amdocs infrastructure system.
You will design and develop infrastructure interfaces and stay abreast of industry best practices and contribute ideas for improvements in DevOps practices, delivering innovation through automation to enable standard deployable units of infrastructure through multiple environments into production.
You will research new technology on the market.
You will plan, design, program and implement new technology in accounts/products life cycle.
You will participate in the planning, design, and implementation efforts
Why you will love this job:
You will be have the opportunity to lead the integration between a major product infrastructure system and the Amdocs infrastructure system, driving automation helping teams work smarter and faster
You will be a key member of a global, dynamic and highly collaborative team with various possibilities for personal and professional development
You will have the opportunity to work in multinational environment for the global market leader in its field
Amdocs is an equal opportunity employer. We welcome applicants from all backgrounds and are committed to fostering a diverse and inclusive workforce"," ():
Name: John Doe
Email: johndoe@email.com
Phone: 123-456-7890

Summary:
DevOps Engineer with 3 years of experience in automating and maintaining complex installations for non-production and production environments. Skilled in defining architecture requirements for deployment and automations and experienced in DevOps development and support (Jenkins CI/CD, Nexus, NPM, GIT, Maven), deployment tools (Ansible, Kubernetes, Docker), scripting tools (bash, Python, Groovy, PowerShell), and public cloud development (AWS, Google). Proficient in monitoring and tracing tools, security, logging, and Linux (Ubuntu, RHEL, ALM). Team player with excellent interpersonal and communication skills.

Education:
Bachelors Degree in Computer Science, XYZ University, 2017-2021

Work Experience:
DevOps Engineer, ABC Company, 2021-Present
- Automated multiple parts of infrastructure and deployment systems, improving and shortening processes to enable engineering and operations teams work smarter and faster
- Collaborated with related product development teams to drive automation of configuration management, build, release, deployment, and monitoring processes, including instructing teams on the developed tools
- Worked with IT and development to create the integration and continuity of the code holding a holistic view of their working environments
- Supported engineering and operations teams to meet infrastructure needs
- Provided professional support for the developed automations, responding to incidents in an effort to avoid system outages or restore availability to meet SLAs
- Monitored AWS instances and other web-based applications
- Led the integration between product infrastructure system and Amdocs infrastructure system
- Designed and developed infrastructure interfaces and stay abreast of industry best practices and contributed ideas for improvements in DevOps practices, delivering innovation through automation to enable standard deployable units of infrastructure through multiple environments into production
- Researched new technology on the market
- Planned, designed, programmed, and implemented new technology in accounts/products life cycle
- Participated in planning, design, and implementation efforts

Certifications:
AWS Certified DevOps Engineer - Professional
Certified Kubernetes Application Developer

"
