Job Description,Ground Truth
"DevOps Engineer
About the Position:
We are building Cloud Services based on micro services. As we take our next big step forward in our company, in the implementation of scalable, reusable platform services that will form the core of our technology and software solutions as we move into the future. This position needs the you to lead, develop, coach teams in building end to end automation and monitoring of cloud scale systems. In this role, you will lead teams by example to create self-service, fully automated deployment systems that helps in deployment of our solution. You will ensure that our solution can be continuously released with high levels of confidence while also improving the scalability, reliability, quality and performance of the Continuous Delivery/DevOps systems
Responsibilities:
Define and drive end-to-end agile DevOps based software development life cycle with end to end automation in mind (Tools & Processes)
Establish software architecture patterns with High Availability, scale, security, monitoring, and configuration of cloud platform services.
Provide software architecture guidance and design patterns for PaaS and distributed system services development.
Planning, installing and deploying highly available solutions on public cloud
Designing, implementing, and managing DevOps capabilities in cloud offerings using CI/CD toolsets and automation
Work with development teams across multiple organizations to drive automation, establish software standards, service modularity, code reuse, testing, and deployment/management of micro services.
Work with engineering, product management, and operations teams to establish standards and repeatable processes for managing change, and brownfield upgrades across different environments.
Communicate effectively at various levels, translate needs and synthesize high-level designs/processes, guide agile iteration sequencing, and drive overall outcome with scrum teams.
Mentors and coaches team members.
Minimum Qualifications: Bachelors engineering degree
Preferred Qualifications:
5-7 years of Designing and implementing end to end automation
4+ years configuration management/automation tools such as Puppet, Chef, Ansible ,Terraform or SaltStack,
Experience in Python.
Significant experience with tools used for automated deployment, scaling, and operations of application containers such as Kubernetes/Mesos
Good technical understanding of distributed systems, large-scale server and cloud infrastructures
Experience with public clouds such as AWS, Azure, GCP
Experience in deploying & managing clustered applications
Working knowledge of Jenkins and Git
Keen understanding of package management system
Network automation such as switch configurations, routing, & load balancers",": 

Name: John Doe

Contact Information: 
Email: johndoe@email.com
Phone: 123-456-7890

Summary:
Experienced DevOps engineer with a focus on automation and monitoring of cloud scale systems. Skilled in defining and driving end-to-end agile DevOps software development life cycle, establishing software architecture patterns with high availability, scale, security, monitoring, and configuration of cloud platform services. Proven track record of designing, implementing, and managing DevOps capabilities in cloud offerings using CI/CD toolsets and automation.

Education:
Bachelor of Science in Computer Science, University of California, Los Angeles

Certifications:
AWS Certified DevOps Engineer – Professional

Skills:
- 5+ years of designing and implementing end-to-end automation
- 4+ years of configuration management/automation tools such as Puppet, Chef, Ansible, Terraform, or SaltStack
- Experience in Python
- Significant experience with tools used for automated deployment, scaling, and operations of application containers such as Kubernetes/Mesos
- Good technical understanding of distributed systems, large-scale server and cloud infrastructures
- Experience with public clouds such as AWS, Azure, GCP
- Experience in deploying & managing clustered applications
- Working knowledge of Jenkins and Git
- Keen understanding of package management system
- Network automation such as switch configurations, routing, & load balancers

Work Experience:

DevOps Engineer, XYZ Company
June 2018 – Present
- Led the development of end-to-end automation and monitoring of cloud scale systems
- Designed and implemented highly available solutions on public cloud
- Worked with development teams across multiple organizations to drive automation and establish software standards
- Collaborated with engineering, product management, and operations teams to establish standards and repeatable processes for managing change and upgrades across different environments
- Mentored and coached team members

DevOps Engineer, ABC Inc.
January 2016 – June 2018
- Designed and implemented DevOps capabilities in cloud offerings using CI/CD toolsets and automation
- Worked with development teams to establish service modularity and code reuse
- Automated deployment of microservices using Kubernetes
- Managed and monitored cloud infrastructure using tools such as CloudWatch and Prometheus

"
"Software Engineer
Software Engineer with skills HTML 5, EJB,HTML 5,HTML,CSS,DHTML,HTML 4.1,CSS 3 for location Noida, India
Posted on: November 06, 2020
Share on Linkedin
Share on Twitter
Share on Facebook
Share on WhatsApp
ROLES & RESPONSIBILITIES
- Strong knowledge of HTML/HTML5, CSS/CSS3, JavaScript, JQuery.
- Should have experience in converting PSD to HTML
- Fully responsive layout
- Strong knowledge of HTML/HTML5, CSS/CSS3, JavaScript, JQuery.
- Should have experience in converting PSD to HTML
- Fully responsive layout
EXPERIENCE
9 Months - 2 Years
SKILLS
Skill Category: UI/UX
Primary Skill: HTML 5
Additional Skill(s): EJB,HTML 5,HTML,CSS,DHTML,HTML 4.1,CSS 3
ABOUT THE COMPANY
Infogain is a Silicon Valley headquartered company with software platform engineering and deep domain expertise in the travel, retail, insurance and high technology industries. We accelerate the delivery of digital customer engagement systems using digital technologies such as cloud, microservices, robotic process automation and artificial intelligence to our clients.
Infogain delivers positive business outcomes for Fortune 500 companies and digital natives, using rapid prototyping and a solid foundation of DevSecOps-based software platform engineering that ensure high-quality and on-time delivery. A ChrysCapital portfolio company, Infogain has offices in California, Washington, Texas, London, Dubai, India and Singapore, with delivery centers in Austin, New Delhi, Bangalore, Pune, and Mumbai."," - :

Name: John Doe
Location: Noida, India
Email: johndoe@email.com
Phone: +91 9876543210

Summary:
A highly skilled software engineer with 2 years of professional experience in UI/UX design and development. Proficient in HTML5, CSS3, JavaScript, and JQuery. Strong experience in converting PSD to HTML with a fully responsive layout.

Skills:
- HTML5, CSS3, JavaScript, JQuery
- PSD to HTML conversion
- UI/UX design and development

Experience:
Software Engineer
ABC Technologies, Noida, India
Duration: 2 years
Key Responsibilities:
- Developed and maintained responsive UI/UX design for various web applications using HTML5, CSS3, JavaScript, and JQuery.
- Successfully converted PSD to HTML for multiple projects.
- Collaborated with cross-functional teams to ensure timely delivery of projects.

KPIs:
- Developed 15+ responsive design projects with 100% client satisfaction rate.
- Achieved an average conversion rate of 80% for PSD to HTML projects.

Certifications:
- HTML5 and CSS3 Certification, Udemy

Education:
- Bachelor's degree in Computer Science, XYZ University, Noida, India

"
"iOS Developer
Skill Sets
 Proven working experience in software development.
 Working experience in iOS development.
 Have published one or more iOS apps in the app store.
 A deep familiarity with Objective-C and Cocoa Touch.
 Experience working with iOS frameworks such as Core Data, Core Animation, Core Graphics and Core Text.
 Experience with third-party libraries and APIs.
 Working knowledge of the general mobile landscape, architectures, trends, and emerging technologies.
 Solid understanding of the full mobile development life cycle.
Responsibilities
 Design and build advanced applications for the iOS platform.
 Collaborate with cross-functional teams to define, design, and ship new features.
 Unit-test code for robustness, including edge cases, usability, and general reliability.
 Work on bug fixing and improving application performance.
 discover, evaluate, and implement new technologies to maximize development efficiency.
Job Type: Full-time
Pay: 100,000.00 - 400,000.00 per year
Schedule:
Day shift
Supplemental Pay:
Quarterly bonus
Experience:
work: 1 year (Preferred)
total work: 1 year (Preferred)
iOS: 1 year (Preferred)
Education:
Bachelor's (Preferred)
Programming Languages needed:
Objective-C (Preferred)",": 

Name: John Doe

Summary:
I am an experienced iOS Developer with a proven track record of designing and developing advanced applications for the iOS platform. I am well-versed in Objective-C and Cocoa Touch, and have published several iOS apps in the app store. I have a solid understanding of the full mobile development life cycle and am always looking for new technologies to maximize development efficiency.

Skills:
- Proven working experience in software development.
- Working experience in iOS development.
- Have published one or more iOS apps in the app store.
- A deep familiarity with Objective-C and Cocoa Touch.
- Experience working with iOS frameworks such as Core Data, Core Animation, Core Graphics and Core Text.
- Experience with third-party libraries and APIs.
- Working knowledge of the general mobile landscape, architectures, trends, and emerging technologies.
- Solid understanding of the full mobile development life cycle.

Work Experience:
iOS Developer at XYZ Inc.
- Designed and developed advanced applications for the iOS platform using Objective-C and Cocoa Touch.
- Collaborated with cross-functional teams to define, design, and ship new features.
- Unit-tested code for robustness, including edge cases, usability, and general reliability.
- Worked on bug fixing and improving application performance.
- Discovered, evaluated, and implemented new technologies to maximize development efficiency.

iOS Developer at ABC Corp.
- Developed and maintained iOS applications for clients using Objective-C and Cocoa Touch.
- Worked with third-party libraries and APIs to integrate new features into existing applications.
- Collaborated with cross-functional teams to define, design, and ship new features.
- Unit-tested code for robustness, including edge cases, usability, and general reliability.
- Worked on bug fixing and improving application performance.

Certifications:
- iOS Developer Certification from Apple Inc.

Education:
- Bachelor's Degree in Computer Science from XYZ University.

"
"Database Administrator
exciting work environment grounded foundation family ownership 100 year delaware north ha earned reputation one admired family-owned hospitality company world little caesar arena provide food beverage concession luxury suite catering restaurant service retail partner nhl detroit red wing nba detroit piston event spanning college championship game world-renowned artist located heart detroit state art facility combine new- age restaurant shopping preserving historic love two detroit team working behind scene front line making guest experience moment memory best position detail role position associate interested working sportservice operation opportunity gain exposure business develop administrative skill determine would like pursue career industry program consist primarily on-the-job training position considered part time working 30-40 hour per week hr office administrator responsible assisting human resource department unit level responsibility include limited assist department employee incentive program meet unit goal assist coordination new-hire re-hire orientation required training staff ensure compliance federal state employment regulation well company policy procedure ; including maintenance personnel file internal auditing additional responsibility help answer basic payroll question including log employee self-service programpeople manager activate pay card sign direct deposit payroll edit request etc tracking distributing pay card new hire entered enrolling associate biometrics new hire new hire uploads order schedule associate orientation communicating orientation information new hire including call fire email etc responsible distribution tracking associate badge responsible incoming outgoing mail overseeing front desk including answering phone greeting associate guest etc basic troubleshooting associate problem concern expectation qualified candidate must good organizational skill attention detail ability communicate effectively level management associate team oriented/ ability work well others ability work flexible schedule night holiday weekend etc ; willingness ability work long hour highly motivated desire work fast-paced sport entertainment environment ability prioritize multiple demand ; time management skill major minor emphasis business management related field preferred proficient microsoft office self-sufficient hourly position wage depending upon experience recruiting ensure compliance recruitment policy process procedure partner hiring manager fill open position communicating hr hiring manager create job posting description post vacancy using peoplemanager recruiting system monitor evaluate job posting response maintain lca website pre-screen candidate administer pre-employment assessment set interview schedule conduct interview co-ordinate verification check send job offer new hire paperwork track candidate seek candidate develop maintain local network ensure constant flow qualified candidate using variety source including direct sourcing utilizing social medium network contact internet posting database search referral create diverse candidate group perform recruiting task sense urgency aggressiveness necessary achieve exceed desired staffing level regular consistent basis establish trust confidence maintaining high level credibility integrity skilled communication manager hr candidate schedule new hire orientation applicant manager take career beyond ordinaryto extraordinary delaware north love work work day unfolds whether sporting venue casino airport national park iconic hotel premier restaurant telling career ultimately take empower great work company 100 year success stability growth drive enjoy thrill making thing happen - share vision grow u delaware north one largest admired privately-held hospitality company world founded owned jacob family nearly 100 year global leader hospitality food service operation sport travel hospitality restaurant catering park resort gaming specialty retail industry delaware north ha annual revenue exceeding $ 3 billion 60000 employee associate learn visit www.delawarenorth.com applicant subject pre-employment background check may subject pre-employment drug test depending upon position and/or client requirement delaware north company incorporated subsidiary consider applicant position without regard race color religion creed gender national origin age disability marital veteran status sexual orientation legally protected status delaware north equal opportunity employer"," ():

Name: John Doe

Skills: 
- Proficient in database management with over 5 years of experience
- Knowledge of SQL, Oracle, and Microsoft Access
- Excellent organizational and time management skills
- Ability to work independently and in a team
- Detail-oriented and able to handle multiple projects simultaneously

Experience:
Database Administrator at ABC Corporation (2015-2020)
- Managed and maintained a database of over 5,000 clients
- Developed and implemented new database systems to improve efficiency
- Conducted regular data backups and ensured data security
- Collaborated with IT department to troubleshoot issues and provide technical support
- Devised and executed data cleaning procedures to ensure data integrity

Database Analyst at XYZ Inc (2012-2015)
- Conducted data analysis and developed database models for various departments
- Created automated reports for management and stakeholders
- Developed data governance policies and procedures
- Conducted regular data audits to ensure accuracy and completeness
- Collaborated with cross-functional teams to implement new systems and processes

Education:
Bachelor of Science in Computer Science, XYZ University (2012)
Certified Oracle Database Administrator (2015)

"
"Django Developer
Role Description*
We are looking for a Python (Django) Web Developer with 1+ years of experience to join our Engineering team and help us develop and maintain our internal products.
Python Developer responsibilities include writing and testing code, debugging programs and integrating applications with third-party web services. To be successful in this role, you should have experience using server-side logic and work well both individually and in a team.
Ultimately, youll build highly responsive and innovative web applications that align with our business needs.
Skills Required*
Design and implement a full-stack web application using Python Django framework.
1+ years of experience in building and deploying web applications using the Python Django framework.
Experience in designing and using RESTful APIs.
Basic understanding of front-end technologies, such as JavaScript, HTML5, and CSS3.
Knowledge of React JS front-end is a plus.
Understanding of fundamental design principles behind a scalable application.
Understanding of databases, SQL and non-relational plus the Django ORM.
Strong knowledge of Git version control.
Experience deploying Python applications into production.
Amazon Web Services (AWS) knowledge is a plus.
Principal Responsibilities*
Writing reusable, testable, and efficient code.
Design and implementation of low-latency, high-availability, and performance applications using Django framework in Python.
Create and use the REST APIs for communicating with other apps.
Assess and prioritize feature requests and work in Agile framework.
Implementation of security and data protection algorithms.
Integration of data storage solutions like databases, key-value stores, blob stores, S3 etc.
Improve the functionality of existing systems and applications.
High commitment to work and taking ownership of deliverables.
Help to research and influence our path forward with strategic technology initiatives.
Job Type: Full-time
Salary: 400,000.00 - 500,000.00 per year
Schedule:
Day shift
Experience:
work: 1 year (Preferred)
Django: 1 year (Preferred)
Python: 1 year (Preferred)
Education:
Bachelor's (Preferred)
Work Remotely:
Temporarily due to COVID-19"," - 

Name: John Doe
Email: johndoe@email.com
Phone: 555-555-5555

Summary:
Python (Django) Web Developer with 1+ years of experience in building and deploying web applications using the Python Django framework. Proficient in designing and using RESTful APIs. Experienced in front-end technologies, such as JavaScript, HTML5, and CSS3. Strong knowledge of Git version control. 

Skills:
- Design and implementation of full-stack web applications using Python Django framework
- Experience in designing and using RESTful APIs
- Proficient in front-end technologies such as JavaScript, HTML5, and CSS3
- Strong knowledge of Git version control
- Basic knowledge of React JS front-end
- Understanding of fundamental design principles behind a scalable application
- Knowledge of databases, SQL and non-relational plus the Django ORM
- Experience deploying Python applications into production
- Knowledge of Amazon Web Services (AWS)

Experience:
Python (Django) Web Developer
ABC Company
June 2020 - Present
- Design and implementation of low-latency, high-availability, and performance applications using Django framework in Python
- Writing reusable, testable, and efficient code
- Creating and using the REST APIs for communicating with other apps
- Integration of data storage solutions like databases, key-value stores, blob stores, S3 etc.
- Improving the functionality of existing systems and applications
- Implementing security and data protection algorithms
- Assessing and prioritizing feature requests and working in Agile framework

Python Developer
XYZ Company
March 2019 - June 2020
- Developed and maintained web applications using Python Django framework
- Integrated applications with third-party web services
- Wrote and tested code, and debugged programs
- Worked both individually and in a team

Education:
Bachelor of Computer Science
ABC University
Graduated May 2019

"
"Wordpress Developer
5
Experience Level
3 to 5 years
Preference to
The immediate joiner & serving the Notice Period.
Job Description
Responsible to translate the design wireframe to WordPress framework with the help of WordPress Component, Plugins and modules.
Responsible for handling WordPress and its components/plugins upgrade, customization/ creation of web application and portal development independently.
Utilize Word Press to set-up and manage websites including advanced video.
Should know in and out of Word Press.
Should have a strong understanding of Logic and Data Structure.
Passion for best design and coding practices and a desire to develop new bold ideas.
Code and modify custom applications using CMS Platforms.
Responsible for both back-end and front-end development, including Modifying Joomla & WordPress themes and plugins.
Strong MySQL database skills.
Comfortable working with front-end technologies (HTML, CSS, Jquery, JavaScript).
Experience of CMS like WordPress, Joomla, Drupal.
The candidate should have a strong understanding of industry trends and content management systems.
Experience with a responsive and adaptive design is strongly preferred.
Also, an understanding of the entire web development process, including design, development, and deployment is preferred.
Having experience of WooCommerce Customization, WooCommerce develops/modifies add-ons, WooCommerce API, WordPress/WooCommerce Webhooks, WooCommerce Payment Gateway development.
Apply Now",": 

Name: John Doe

Contact Information: 
Email: johndoe@email.com 
Phone: 555-555-5555 

Summary: 
Experienced WordPress Developer with over 5 years of experience in developing and customizing WordPress websites. Strong understanding of Logic and Data Structure, with a passion for best design and coding practices.

Work Experience: 
WordPress Developer at ABC Company (2017-present)
- Translate design wireframes to WordPress framework using WordPress components, plugins, and modules
- Handle WordPress and its components/plugins upgrade, customization/creation of web application and portal development independently
- Set-up and manage websites using WordPress, including advanced video
- Code and modify custom applications using CMS Platforms
- Modify Joomla & WordPress themes and plugins
- Utilize strong MySQL database skills
- Work with front-end technologies such as HTML, CSS, Jquery, and JavaScript

WordPress Developer at XYZ Company (2015-2017)
- Developed and customized WordPress websites for clients
- Utilized WordPress components, plugins, and modules to create web applications and portals
- Set-up and managed websites using WordPress
- Modified Joomla & WordPress themes and plugins
- Worked with front-end technologies such as HTML, CSS, Jquery, and JavaScript

Education: 
Bachelor's Degree in Computer Science from University of ABC (2015) 

Certifications: 
WordPress Certified Developer 

KPIs: 
- Successfully developed and launched 10 WordPress websites for clients 
- Improved website loading speed by 50% by optimizing images and implementing caching techniques 

"
"Backend Developer
Company description
The All-New HALFWAY App helps user's to locate the mid-point of two areas and lets the user explore the spots nearby that mid-point.
Explore what youve been missing.
Makes it easier than ever to Meetup.
Instant & Secure Messaging with Fun Bots.
Quick Ride Booking Feature.
Save Time Save Money
HALFWAY -- Where Meets Made Easier
Job description
Who we're looking for:
First thing's first - to get shortlisted for an interview, please be a genuine senior-level Backend Developer.
Skills and experience we're looking for:
 5+ years of experience with designing, developing and implementing production software and complex system integrations.
 A strong, hands-on experience, in back-end development.
 Excellent written and verbal communication skills, as well as being able to produce clear design documents such as UML diagrams.
 Experience in designing scalable and redundant RESTful APIs.
 Experience with NODE.JS, Javascript
 Strong experience with Micro-services architecture.
Strong experience in SERVER MANAGEMENT - AMAZON EC2 & AMAZON LAMBDA
 BDD Testing discipline, experience with Cucumber.
 Experience with databases SQL, MONGO DB
 Experience with NoSQL databases
. Experience in AWS
 Experience working in Cloud environments, AWS/Google Cloud.
Experience in TECH SEARCH - ELASTIC SEARCH, JENKINS CI-CD, AMAZON API GATEWAY, DOCUMENTATION - SWAGGER, CONTENT DELIVERY NETWORK - AMAZON CLOUD FRONT
 Protocol Buffers/gRPC - an advantage.
 Additional languages, such as Python, JavaScript an advantage.
 Kubernetes, Minikube, (Docker) containers, and - an advantage.
Job Type: Full-time
Salary: 60,000.00 - 100,000.00 per month
Supplemental Pay:
Performance bonus
Experience:
total work: 6 years (Required)
Location:
Hyderabad, Telangana (Required)
Work Remotely:
No"," ()
Name: John Doe
Email: john.doe@email.com

Summary:
I am a highly experienced backend developer with over 7 years of experience in designing, developing, and implementing production software and complex system integrations. I am proficient in back-end development, have excellent written and verbal communication skills, and can produce clear design documents such as UML diagrams. I have experience in designing scalable and redundant RESTful APIs and have worked extensively with NODE.JS, Javascript, and Micro-services architecture. I have strong experience in SERVER MANAGEMENT - AMAZON EC2 & AMAZON LAMBDA, BDD Testing discipline, and experience with Cucumber. I have experience with databases SQL, MONGO DB, NoSQL databases, and AWS. I have worked in Cloud environments like AWS and Google Cloud, and have experience in TECH SEARCH - ELASTIC SEARCH, JENKINS CI-CD, AMAZON API GATEWAY, DOCUMENTATION - SWAGGER, CONTENT DELIVERY NETWORK - AMAZON CLOUD FRONT. I also have experience with Protocol Buffers/gRPC.

Work Experience:
1. Senior Backend Developer at XYZ Company
   - Designed and developed scalable and redundant RESTful APIs using Node.js and Micro-services architecture
   - Worked extensively with AWS, including SERVER MANAGEMENT - AMAZON EC2 & AMAZON LAMBDA, TECH SEARCH - ELASTIC SEARCH, JENKINS CI-CD, AMAZON API GATEWAY, DOCUMENTATION - SWAGGER, CONTENT DELIVERY NETWORK - AMAZON CLOUD FRONT
   - Developed and implemented production software and complex system integrations
   - Conducted BDD testing using Cucumber and ensured high-quality code
   - Created clear design documents such as UML diagrams

2. Backend Developer at ABC Company
   - Designed and developed RESTful APIs using Node.js and Micro-services architecture
   - Worked with SQL and NoSQL databases
   - Worked in a Cloud environment like AWS
   - Conducted BDD testing using Cucumber and ensured high-quality code
   - Produced clear design documents such as UML diagrams

Certifications:
- AWS Certified Developer - Associate

"
"Flutter Developer
Do you want to grow as a developer and build things that matter?
Are you searching for an engineering team that operates on a global scale very few companies reach? Are you looking to code and build features in one of the top-rated eCommerce mobile apps in the world? If you are a smart engineer who cares about being great at their craft, executes at a high level, and loves to work as part of a team, and have fun doing it, you should join us.
At Groupon, we have a mission to become the daily habit in local commerce and fulfill our purpose of building strong communities through thriving small businesses by connecting people to a vibrant, global marketplace for local services, experiences, and goods. In the process, were positively impacting the lives of millions of customers and merchants around the world. Even with thousands of employees spread across multiple continents, we still maintain a culture that inspires innovation, rewards risk-taking, and celebrates success. If you want to take more ownership of your career, then you're ready to be part of Groupon.
Groupon's Mobile Engineering Team is making a clear impact on our bottom line. And with the growth of our mobile marketplace, they are getting more internal and external exposure every single day. Here, you will focus on the Flutter app, which is at the heart of our story. It connects millions of Merchants with local customers and services that they love all over the world.
You will work on projects and code that directly impact the user experience. As a Senior Flutter Engineer, you will lead projects and foster engineering excellence as we challenge the status quo and take on large-scale problems. On this team, you will challenge each other, learn together, and never let a cat gif go unnoticed.
We offer the scale, scope, and impact a smart and creative developer like you craves. If you have the ambition to work on a massive scale and love owning your own road map, we want to talk to you.
Youll spend time on the following:
You will develop the code that improves our overall Merchant mobile app experience.
Work alongside other partners (such as Product Managers, Designers, UX/UI, and QA) to build and ship features that go into the main Groupon application.
Rapidly add new functionality, tackle complex problems, and ship defect-free code at a rapid pace
Work with other developers across Groupon to ensure were using the right methodologies and practices
Help build our technical execution plans and ensure we hit all expectations
Teach and mentor fellow engineers, and work to foster an environment of development and inclusivity.
Were excited about you if you have:
You need 6+ years of experience in software design and development with at least 4 years in native mobile with a BS or MS in computer science (or related field)
As an independent, self-motivated, and an avid technologist, you should have a strong interest in mobile and intuition for UX and consumer behavior
2 years of Flutter / Hybrid apps experience and 4+ years experience in iOS/Android (Java/Kotlin).
Experience writing testable code & unit tests
Experience working with other hybrid mobile platforms a plus
Experience building one or more deployed mobile applications preferred
An interest in understanding the why, and a desire to pull the thread to understand how things work
The merchant engineering team is growing significantly, and there are numerous opportunities available - were going to change the face of local commerce, and if youre up for the challenge, please get in touch!
Groupon's purpose is to build strong communities through thriving small businesses.
To learn more about the world's largest local ecommerce marketplace,
click here for the latest Groupon news.
Plus, be sure to
check out the values
that shape our culture, guide our strategy and make our company a great place to work. And just don't take our word for it.
Hear from real Groupon team members
and learn more about our inclusive employee groups. If all of this sounds like something that's a great fit for you, then click apply and let's see where this takes us.
Groupon is an Equal Opportunity Employer
Qualifications for employment, promotion, and other terms and
conditions of employment are based upon the ability to perform the job.
Equal-employment opportunities are provided to all applicants and
employees without regard to race, creed, religion, color, age, national
origin, sex, disability, medical condition, sexual orientation, gender
identity or expression, genetic information, ancestry, marital status,
military discharge status (excluding dishonorable discharge), veteran
status, citizenship status, or other legally protected status. We are
all responsible for maintaining this policy. Groupon is committed to
providing reasonable accommodations for qualified individuals with
disabilities and disabled veterans in our job application procedures. If
you need assistance or an accommodation due to a disability, you may
email us at hraccommodations at groupon.com. If you have concerns
related to Groupons equal employment opportunities, you may contact
Groupon's Ethics Reporting Service Ethicspoint."," ():
Senior Flutter Developer Resume

Summary:
Highly skilled Senior Flutter Developer with over 6 years of experience in software design and development. Possessing a strong interest in mobile and intuition for UX and consumer behavior. Currently looking for a challenging role that will allow me to utilize my skills and knowledge to improve the overall Merchant mobile app experience.

Skills:
- Flutter/Hybrid apps development (2 years)
- iOS/Android (Java/Kotlin) development (4+ years)
- Testable code and unit tests writing experience
- Strong interest in mobile and intuition for UX and consumer behavior
- Excellent problem-solving skills
- Communication and team management skills
- Strong knowledge of software development methodologies and practices

Work Experience:
Senior Flutter Developer, ABC Company (2018 - Present)
- Developed and maintained the Flutter app that connects millions of Merchants with local customers and services
- Improved overall Merchant mobile app experience by developing new features and fixing defects
- Worked alongside other partners (such as Product Managers, Designers, UX/UI, and QA) to build and ship features that go into the main Groupon application
- Rapidly added new functionality, tackled complex problems, and shipped defect-free code at a rapid pace
- Worked with other developers across Groupon to ensure we were using the right methodologies and practices
- Mentored fellow engineers, and worked to foster an environment of development and inclusivity

Flutter Developer, XYZ Company (2016 - 2018)
- Developed and maintained the Flutter app that connects millions of customers with local services and goods
- Improved overall customer experience by developing new features and fixing defects
- Worked with the team to ensure we were using the right methodologies and practices
- Worked on projects and code that directly impacted the user experience

Education:
BS in Computer Science, University of XYZ (2016)

Certifications:
Google Certified Professional - Flutter Developer (2020)

"
"Node js developer
10 September 2020
1 - 4 Year
Mumbai
30,000 (p/m)
KEYWORDS
AddThis Sharing Buttons
Share to Facebook
Share to LinkedIn
Share to Email
Share to Copy Link
Share to More
1
Angular JSNode JSAngular 5
JOB DESCRIPTION
We have requirement for NodeJS Developer
Location : Mumbai (Andheri)
Experience: 1 Year to 4 Years
Salary : Depend on your Experience
Other Skills - Angular 7+
Job Profile
Experience in RESTful API development with NodeJS, ExpressJSetc
Experience in Automated Unit Testing with Jasmine/JEST
Knowledge of Data Structures and Algorithms, Node Global variables and In-built libraries
Understanding the nature of asynchronous programming and its quirks and workarounds
Strong experience with MongoDB
Experience on Integration with data storage solutions [RDBMS, No SQL DB]
Experience working with WebSockets is a plus
Experience working with Redis and its various applications like task queues etc
Should have worked with full text search engines like ElasticSearchetc
Should have experience and knowledge of scaling, data protection and security considerations
Strong Experience with object oriented JavaScript, ES6 Features."," - 
Name: John Doe
Location: Mumbai, Andheri
Email: johndoe@email.com
Phone: 123-456-7890

Summary:
Highly skilled NodeJS Developer with over 3 years of experience in RESTful API development. Proficient in ExpressJS and Angular 7+. Strong experience with MongoDB, Redis, and ElasticSearch. Knowledge of data structures and algorithms, Node global variables and in-built libraries. Excellent understanding of asynchronous programming and its quirks and workarounds. Passionate about scaling, data protection, and security considerations.

Education:
Bachelor's degree in Computer Science, XYZ University, 2016-2020

Skills:
- NodeJS, ExpressJS
- Angular 7+
- MongoDB, Redis, ElasticSearch
- RESTful API development
- Automated unit testing with Jasmine/JEST
- WebSockets
- Scaling, data protection, and security considerations

Experience:
NodeJS Developer, ABC Company, Mumbai, 2020-Present
- Developed RESTful APIs using NodeJS and ExpressJS
- Worked with MongoDB, Redis, and ElasticSearch for data storage solutions
- Developed automated unit tests with Jasmine/JEST
- Integrated WebSockets into the application
- Worked on scaling, data protection, and security considerations

KPIs:
- Reduced API response time by 30% through optimized database queries
- Increased API throughput by 20% through efficient use of WebSockets
- Achieved 100% test coverage in automated unit testing

"
"iOS Developer
Skill Set:
Should have experience with iOS frameworks such as Core Data, Core Animation, etc, and possess good knowledge in Objective-C or Swift, C#, Xamarain, and understanding of code versioning tools.
Experience:
1-3 years of experience in objective C and swift, iPhone/iPad Apple SDK with experience building iPhone/iPad apps from start to finish
Vacancy: 2",": 

Objective: iOS Developer

Summary:
I am an iOS Developer with 3 years of experience in Objective-C and Swift. I am proficient in iOS frameworks such as Core Data and Core Animation. I am also skilled in C#, Xamarin, and have a good understanding of code versioning tools. I have built iPhone/iPad apps from start to finish and can handle the entire app development cycle.

Skills:
- Proficient in Objective-C and Swift
- Experienced with iOS frameworks such as Core Data and Core Animation
- Skilled in C# and Xamarin
- Good understanding of code versioning tools

Experience:
iOS Developer, XYZ Corp, 2018-2021
- Developed and maintained iPhone/iPad apps using Objective-C and Swift
- Worked with Core Data and Core Animation frameworks
- Collaborated with designers, product managers, and other developers to build high-quality apps
- Implemented new features, fixed bugs, and optimized app performance
- Utilized code versioning tools such as Git and SVN

iOS Developer, ABC Inc, 2016-2018
- Built iPhone/iPad apps from start to finish using Objective-C and Swift
- Worked with various iOS frameworks, including Core Data and Core Animation
- Implemented new features and fixed bugs
- Collaborated with the design team to ensure that the apps met the required standards
- Utilized code versioning tools such as Git and SVN

Education:
Bachelor's in Computer Science, XYZ University, 2016

Certifications:
- iOS Development (Swift), Udemy, 2017
- Xamarin Development, Xamarin University, 2018

"
